subject,relation,object
blouse,hypernym,top
oak,hypernym,wood
closed,synonym,close
closed,synonym,shut
potted,synonym,pot
potted,hypernym,plant
box,hypernym,container
professional,hypernym,adult
machine,hypernym,device
bleacher,hypernym,worker
telephone,synonym,phone
male,hypernym,animal
rounded,synonym,round
packaged,synonym,box
packaged,synonym,package
wired,synonym,wire
wired,hypernym,outfit
soup,hypernym,dish
calico,hypernym,cloth
calico,hypernym,material
cup,hypernym,container
suitcase,synonym,bag
suitcase,hypernym,luggage
cigarette,hypernym,smoke
mozzarella,hypernym,cheese
candle,hypernym,lamp
hazy,synonym,foggy
hazy,synonym,misty
cd,hypernym,metal
by,synonym,past
wallpaper,hypernym,paper
runway,synonym,track
runway,hypernym,bar
blazer,hypernym,jacket
topped,synonym,top
tossing,synonym,flip
tossing,synonym,sky
dryer,hypernym,appliance
petting,synonym,hugging
petting,synonym,kissing
jagged,hypernym,cut
umbrella,hypernym,canopy
cracker,hypernym,bread
waste,hypernym,material
alcohol,hypernym,beverage
alcohol,hypernym,drink
living,synonym,life
wrinkled,synonym,purse
pancake,hypernym,cake
covering,synonym,cover
hillside,hypernym,side
television,synonym,video
knit,hypernym,cloth
knit,hypernym,material
lace,hypernym,cord
crossed,synonym,track
crossed,synonym,cover
hardwood,hypernym,wood
decorating,synonym,ornament
pond,synonym,pool
pond,hypernym,lake
railing,hypernym,barrier
asphalt,hypernym,pavement
purse,synonym,bag
purse,synonym,handbag
purse,hypernym,container
kiwi,hypernym,vine
electric,hypernym,car
electric,hypernym,machine
mane,hypernym,hair
phone,synonym,telephone
grabbing,synonym,catch
curved,synonym,sheer
curved,synonym,cut
wading,hypernym,walking
collared,synonym,collar
rippling,hypernym,wave
floral,synonym,flowered
hamburger,synonym,burger
hamburger,hypernym,sandwich
notebook,hypernym,book
bag,hypernym,container
pattern,synonym,shape
paved,hypernym,coat
rope,hypernym,line
salad,hypernym,dish
concrete,hypernym,pavement
carriage,synonym,coach
carriage,hypernym,car
waffle,hypernym,cake
keyboard,hypernym,device
padded,synonym,pad
dense,synonym,heavy
switch,hypernym,control
switch,hypernym,controller
cafe,hypernym,restaurant
right,hypernym,abstract
wristwatch,hypernym,watch
cereal,hypernym,grass
goal,synonym,end
can,synonym,tin
can,hypernym,container
card,hypernym,paper
dish,hypernym,container
sunflower,hypernym,flower
spoon,hypernym,container
crosswalk,synonym,crossing
crosswalk,hypernym,path
poodle,hypernym,dog
bar,hypernym,room
hitting,synonym,hit
hitting,hypernym,touching
surrounding,synonym,ring
surrounding,synonym,skirt
down,hypernym,feather
paint,hypernym,coat
paint,hypernym,color
pie,hypernym,pastry
ostrich,hypernym,person
tortilla,hypernym,pancake
parsley,hypernym,herb
bracelet,synonym,wristband
skyscraper,hypernym,building
copper,hypernym,metal
panel,hypernym,sheet
framed,synonym,frame
glowing,hypernym,light
marble,hypernym,rock
marble,hypernym,stone
ornamental,hypernym,plant
policeman,synonym,officer
pesto,hypernym,sauce
mask,hypernym,covering
restaurant,hypernym,building
eating,synonym,feeding
stool,hypernym,seat
beak,hypernym,mouth
tea,hypernym,beverage
tea,hypernym,drink
dining,hypernym,eating
dining,hypernym,feeding
groomed,synonym,train
gravel,hypernym,rock
gravel,hypernym,stone
mayonnaise,hypernym,dressing
khaki,hypernym,cloth
khaki,hypernym,material
bun,synonym,roll
bun,hypernym,bread
cooler,hypernym,refrigerator
sparse,synonym,thin
curious,synonym,funny
dessert,synonym,sweet
bigger,synonym,larger
milkshake,hypernym,drink
trimmed,hypernym,cut
behind,synonym,can
behind,synonym,rear
behind,synonym,seat
behind,synonym,tail
behind,synonym,bottom
young,hypernym,animal
crown,hypernym,symbol
forest,synonym,wood
roadside,hypernym,edge
blurry,synonym,foggy
blurry,synonym,fuzzy
blurry,synonym,hazy
stapler,hypernym,machine
cherry,hypernym,wood
costume,hypernym,dress
golden,synonym,gold
straight,hypernym,person
topping,hypernym,garnish
lighthouse,hypernym,tower
coffee,hypernym,beverage
coffee,hypernym,drink
bandage,hypernym,dressing
snack,hypernym,meal
bottom,hypernym,side
bottom,hypernym,face
surfboard,hypernym,board
jacket,hypernym,coat
ice,hypernym,crystal
airplane,synonym,plane
bedroom,hypernym,room
lot,synonym,mountain
lot,synonym,pot
lot,synonym,stack
flying,hypernym,air
surrounded,synonym,ring
surrounded,synonym,skirt
kiosk,hypernym,closet
yogurt,hypernym,food
shaded,synonym,shade
upside,synonym,top
upside,hypernym,side
upside,hypernym,face
boulder,hypernym,rock
boulder,hypernym,stone
pouch,hypernym,bag
appliance,synonym,gadget
appliance,hypernym,device
meat,hypernym,food
tent,hypernym,shelter
deck,hypernym,platform
hedge,hypernym,fence
watching,hypernym,looking
watching,hypernym,lookingAt
sprinkle,hypernym,shower
candy,hypernym,sweet
indoors,synonym,inside
grill,hypernym,restaurant
rice,hypernym,cereal
hand,synonym,mitt
hand,synonym,paw
patterned,synonym,pattern
three,hypernym,figure
cookie,synonym,biscuit
cookie,hypernym,cake
docked,synonym,dock
breakfast,hypernym,meal
locomotive,synonym,engine
hurdle,hypernym,barrier
flowered,synonym,blossom
flowered,synonym,flower
shut,synonym,close
decoration,synonym,ornament
deep,hypernym,middle
shaker,hypernym,person
bamboo,hypernym,wood
figurine,hypernym,figure
top,hypernym,part
peeled,synonym,skin
peeled,synonym,peel
dressing,hypernym,sauce
attached,hypernym,tie
drawer,hypernym,container
cardboard,hypernym,paper
tin,hypernym,metal
following,hypernym,people
strawberry,hypernym,berry
tire,hypernym,ring
worker,hypernym,person
bench,hypernym,seat
cucumber,hypernym,melon
inside,hypernym,part
jeans,synonym,jean
jeans,synonym,denim
jeans,hypernym,pant
restroom,hypernym,toilet
restroom,hypernym,can
restroom,hypernym,bathroom
lettuce,synonym,bread
lettuce,synonym,cabbage
lettuce,synonym,dough
lettuce,synonym,sugar
lettuce,hypernym,money
twig,hypernym,branch
center,synonym,middle
center,synonym,heart
center,synonym,eye
heavy,hypernym,player
wrapped,hypernym,cover
crispy,synonym,crisp
gentleman,hypernym,man
mailbox,hypernym,box
coleslaw,hypernym,salad
taxi,hypernym,car
taxi,hypernym,machine
child,synonym,kid
child,synonym,fry
foam,hypernym,bubble
over,hypernym,part
manicured,hypernym,cut
factory,hypernym,plant
trash,hypernym,waste
receipt,hypernym,getting
blond,hypernym,person
leaving,synonym,going
blanket,synonym,cover
blanket,hypernym,bedding
couch,synonym,sofa
couch,hypernym,seat
roadway,hypernym,road
close,hypernym,end
guacamole,hypernym,dip
denim,synonym,jean
denim,hypernym,pant
smoking,synonym,smoke
empty,hypernym,container
hung,synonym,hang
toast,hypernym,bread
forested,synonym,forest
forested,hypernym,plant
number,synonym,figure
spotted,synonym,spot
chair,hypernym,seat
officer,hypernym,man
stacked,synonym,stack
aluminum,hypernym,metal
boy,hypernym,male
doll,hypernym,toy
entering,synonym,entrance
sail,synonym,sheet
chili,hypernym,dish
helping,synonym,serving
tag,hypernym,label
family,synonym,house
family,synonym,home
pastry,hypernym,dough
toasted,synonym,toast
toasted,synonym,crisp
double,hypernym,safety
lined,synonym,line
draped,synonym,drape
skateboarder,hypernym,skater
suspended,hypernym,hang
shuttle,synonym,bird
corded,synonym,cord
corded,hypernym,stack
shorter,synonym,short
air,hypernym,gas
garbage,hypernym,waste
polished,synonym,smooth
feathered,synonym,feather
brick,hypernym,ceramic
woman,hypernym,adult
woman,hypernym,female
sitting,synonym,posing
bus,synonym,coach
parrot,hypernym,bird
cupcake,hypernym,cake
mound,synonym,hill
suv,hypernym,car
suv,hypernym,machine
looking,synonym,lookingAt
menu,synonym,card
vast,synonym,huge
butter,hypernym,food
car,synonym,machine
formal,synonym,ball
post,synonym,station
marina,hypernym,dock
plugged,hypernym,close
skateboard,hypernym,board
complete,hypernym,end
statue,hypernym,sculpture
pizza,hypernym,dish
railroad,hypernym,line
stack,hypernym,mound
beneath,synonym,below
garnish,hypernym,decoration
garnish,hypernym,ornament
canopy,hypernym,covering
kitchen,hypernym,room
minivan,hypernym,car
minivan,hypernym,machine
rooftop,hypernym,top
rooftop,hypernym,upside
tinted,hypernym,color
browned,synonym,brown
apartment,synonym,flat
bathroom,synonym,bath
bathroom,hypernym,room
cloth,synonym,material
broth,hypernym,soup
guy,synonym,cat
guy,hypernym,man
dispenser,hypernym,container
undershirt,synonym,vest
wheel,hypernym,machine
murky,synonym,cloudy
murky,synonym,muddy
symbol,hypernym,sign
steak,hypernym,cut
decorated,synonym,ornament
headboard,hypernym,panel
fried,synonym,fry
bagel,hypernym,bun
bagel,hypernym,roll
end,synonym,terminal
displayed,synonym,display
gravy,hypernym,sauce
dried,synonym,dry
side,hypernym,part
catching,hypernym,playing
ginger,hypernym,herb
stainless,synonym,stainlessSteel
basil,hypernym,herb
track,synonym,path
track,hypernym,line
sliced,hypernym,cut
ridged,hypernym,cover
log,hypernym,wood
giant,hypernym,animal
vest,hypernym,garment
envelope,hypernym,container
illuminated,synonym,light
female,hypernym,animal
silk,hypernym,cloth
silk,hypernym,material
painted,synonym,paint
elevated,hypernym,railroad
stuck,synonym,stick
brushing,synonym,brush
steamed,synonym,steam
fenced,synonym,fence
flat,hypernym,plain
flat,hypernym,field
older,synonym,elderly
spinach,hypernym,vegetable
clothe,synonym,dress
clothe,synonym,garment
broken,hypernym,end
fence,hypernym,barrier
misty,synonym,foggy
misty,synonym,hazy
regular,synonym,fixture
paneled,synonym,panel
paneled,hypernym,ornament
armchair,hypernym,chair
sneaker,hypernym,shoe
celery,hypernym,herb
skateboarding,hypernym,skating
sushi,hypernym,dish
blank,hypernym,character
floating,hypernym,swimming
glaze,hypernym,topping
graffiti,hypernym,decoration
graffiti,hypernym,ornament
styrofoam,hypernym,foam
off,synonym,hit
produce,hypernym,food
drawing,hypernym,artwork
skillet,hypernym,pan
going,synonym,leaving
rimmed,hypernym,line
plate,synonym,home
plate,hypernym,bag
squash,hypernym,vine
stair,synonym,step
stair,hypernym,support
store,synonym,shop
store,hypernym,outlet
ornament,synonym,decoration
covered,synonym,cover
drape,synonym,curtain
drape,hypernym,blind
drape,hypernym,screen
match,hypernym,light
dinner,hypernym,meal
iced,synonym,ice
iced,hypernym,cover
backpack,hypernym,bag
snowy,synonym,white
one,hypernym,figure
around,synonym,about
old,hypernym,past
swimsuit,hypernym,garment
vintage,hypernym,wine
soda,hypernym,salt
diced,hypernym,cut
newspaper,synonym,paper
vase,hypernym,jar
splashing,hypernym,painting
ocean,hypernym,water
gadget,synonym,appliance
gadget,hypernym,device
vegetable,hypernym,produce
hydrant,hypernym,faucet
cut,hypernym,part
herding,synonym,herd
herding,synonym,crowd
pad,synonym,tablet
pad,hypernym,paper
written,synonym,pen
guiding,synonym,head
guiding,hypernym,control
shaped,synonym,shape
crossing,hypernym,traveling
flame,synonym,fire
flame,hypernym,burning
milk,hypernym,beverage
milk,hypernym,drink
burnt,synonym,fire
onion,hypernym,bulb
carpet,synonym,rug
hook,hypernym,catch
plaid,hypernym,cloth
plaid,hypernym,material
cathedral,hypernym,church
corn,hypernym,cereal
steel,hypernym,metal
cable,hypernym,wire
paddle,hypernym,bat
boarding,hypernym,going
boarding,hypernym,leaving
stone,synonym,rock
man,hypernym,adult
man,hypernym,male
pasta,hypernym,dish
wool,hypernym,cloth
wool,hypernym,material
tiled,synonym,tile
tiled,hypernym,cover
open,synonym,clear
chasing,synonym,tail
chasing,synonym,tag
chasing,synonym,dog
chasing,synonym,track
drink,hypernym,helping
drink,hypernym,serving
multicolored,synonym,calico
multicolored,synonym,painted
dead,hypernym,people
speckled,hypernym,cloud
scarf,hypernym,garment
frosted,synonym,ice
frosted,hypernym,cover
wrinkly,synonym,wrinkled
bike,synonym,motorcycle
toilet,synonym,can
toilet,synonym,bathroom
toilet,hypernym,room
dirt,hypernym,ground
highway,hypernym,road
gun,hypernym,arm
wireless,synonym,radio
still,hypernym,picture
cover,synonym,screen
cover,hypernym,covering
magnet,hypernym,device
notepad,hypernym,pad
notepad,hypernym,tablet
bushy,synonym,shaggy
aquarium,hypernym,tank
bathtub,synonym,bath
kid,synonym,child
kid,synonym,fry
lake,hypernym,water
nut,hypernym,seed
printed,hypernym,produce
branch,synonym,arm
package,synonym,packet
sidewalk,synonym,pavement
sidewalk,hypernym,walkway
toothbrush,hypernym,brush
toothbrush,hypernym,toiletry
extinguisher,hypernym,device
hotel,hypernym,building
blender,hypernym,mixer
puppy,hypernym,dog
performing,synonym,playing
larger,synonym,bigger
motorcycle,synonym,bike
shop,synonym,store
shop,hypernym,outlet
banana,hypernym,herb
metallic,hypernym,cloth
metallic,hypernym,material
omelette,hypernym,dish
parked,synonym,park
airport,hypernym,field
control,hypernym,power
glazed,synonym,glaze
glazed,hypernym,coat
blind,hypernym,people
baby,hypernym,child
baby,hypernym,kid
crowded,synonym,herd
crowded,synonym,crowd
cupboard,synonym,closet
tv,synonym,television
tv,synonym,video
terminal,hypernym,station
artichoke,hypernym,vegetable
coconut,hypernym,food
ambulance,hypernym,car
ambulance,hypernym,machine
bedspread,synonym,spread
bedspread,hypernym,bedding
sea,hypernym,water
engineer,hypernym,person
jeep,hypernym,car
jeep,hypernym,machine
beverage,synonym,drink
beverage,hypernym,food
beverage,hypernym,liquid
pajamas,hypernym,pant
dotted,hypernym,cover
packet,synonym,package
radio,synonym,wireless
plane,synonym,airplane
crisp,synonym,chip
wicker,hypernym,wood
wheelchair,hypernym,chair
lady,hypernym,woman
closet,synonym,cupboard
sand,hypernym,dirt
four,hypernym,figure
bakery,hypernym,shop
bakery,hypernym,store
dugout,hypernym,shelter
balding,synonym,bald
adult,hypernym,person
rock,synonym,stone
toddler,hypernym,child
toddler,hypernym,kid
toddler,hypernym,fry
calculator,synonym,computer
torn,hypernym,part
remote,hypernym,device
skier,hypernym,athlete
poster,synonym,card
poster,hypernym,sign
stroller,hypernym,pedestrian
miniature,hypernym,painting
miniature,hypernym,picture
mud,synonym,clay
mud,hypernym,dirt
mitt,synonym,hand
mitt,synonym,paw
fan,hypernym,device
crate,hypernym,box
blueberry,hypernym,bush
modern,hypernym,person
olive,hypernym,fruit
paper,hypernym,material
sock,hypernym,hose
kissing,synonym,hugging
kissing,synonym,petting
shelf,hypernym,support
piled,synonym,stack
lighted,synonym,light
unripe,synonym,green
seed,hypernym,fruit
desk,hypernym,table
cart,hypernym,wagon
chocolate,hypernym,beverage
chocolate,hypernym,drink
pumpkin,hypernym,squash
suit,hypernym,garment
legging,hypernym,garment
whisk,hypernym,mixer
croissant,hypernym,bun
croissant,hypernym,roll
plain,synonym,field
plain,hypernym,ground
rose,hypernym,bush
painting,synonym,picture
house,hypernym,building
house,hypernym,home
white,hypernym,person
blossom,synonym,flower
earphone,synonym,headphone
earphone,synonym,phone
raincoat,hypernym,coat
cake,synonym,bar
cake,hypernym,block
partly,synonym,part
jean,synonym,denim
jean,hypernym,pant
bookshelf,hypernym,shelf
chained,synonym,chain
shiny,synonym,glossy
shiny,synonym,shining
public,hypernym,people
shingled,hypernym,roof
shirt,hypernym,garment
beaded,synonym,bead
muddy,hypernym,dirty
thumb,hypernym,finger
beet,hypernym,vegetable
barren,synonym,waste
barren,hypernym,wild
robe,hypernym,garment
hugging,synonym,kissing
hugging,synonym,petting
mashed,synonym,squash
noodle,hypernym,pasta
couple,hypernym,pair
stadium,synonym,bowl
cord,hypernym,line
outdoors,synonym,open
outdoors,hypernym,exterior
spear,hypernym,arm
handbag,synonym,bag
handbag,synonym,purse
handbag,hypernym,container
jumpsuit,hypernym,garment
skater,hypernym,athlete
shallow,hypernym,water
heater,hypernym,device
sprinkled,synonym,sprinkle
waterfall,hypernym,water
sofa,synonym,couch
sofa,hypernym,seat
rug,synonym,carpet
decorative,synonym,ornamental
headphone,synonym,earphone
headphone,synonym,phone
classroom,hypernym,room
kettle,hypernym,pot
edged,synonym,edge
connected,synonym,tie
longer,hypernym,person
pepperoni,hypernym,sausage
roasted,synonym,roast
lawn,hypernym,field
sausage,hypernym,meat
sweater,hypernym,garment
along,synonym,on
caucasian,hypernym,person
dangling,synonym,hanging
dangling,hypernym,support
grilled,synonym,grill
feeding,synonym,eating
carved,hypernym,shape
carved,hypernym,cut
video,synonym,picture
front,hypernym,side
front,hypernym,face
brunette,hypernym,person
sealed,synonym,seal
sealed,hypernym,close
sealed,hypernym,shut
curtain,synonym,drape
curtain,hypernym,blind
curtain,hypernym,screen
hoof,hypernym,foot
comb,hypernym,device
water,hypernym,liquid
mos,synonym,minute
mos,synonym,second
glossy,hypernym,magazine
rib,hypernym,support
exterior,hypernym,part
hang,synonym,bent
hang,hypernym,gift
console,hypernym,table
powdered,synonym,powder
taller,synonym,tall
paw,hypernym,foot
computer,hypernym,machine
daisy,hypernym,flower
bunched,synonym,bunch
serving,synonym,helping
girl,hypernym,woman
tooth,hypernym,bone
doorway,synonym,door
doorway,hypernym,entrance
sack,hypernym,bag
watermelon,hypernym,melon
counter,hypernym,table
roast,hypernym,cut
thick,hypernym,inside
bicycle,synonym,bike
bicycle,synonym,wheel
snowboard,hypernym,board
clay,hypernym,dirt
carpeted,synonym,carpet
carpeted,hypernym,cover
frosting,synonym,icing
frosting,synonym,ice
frosting,hypernym,topping
next,synonym,following
cement,hypernym,concrete
chipped,synonym,chip
chipped,hypernym,part
rolled,synonym,roll
hilltop,hypernym,crown
hilltop,hypernym,top
middle,synonym,center
middle,synonym,heart
middle,synonym,eye
wine,hypernym,alcohol
sheer,synonym,cut
