subject,relation,object
sittingOn,hypernym,on
standingOn,hypernym,on
lyingOn,hypernym,on
layingOn,hypernym,on
restingOn,hypernym,on
placedOn,hypernym,on
mountedOn,hypernym,on
walkingOn,hypernym,on
parkedOn,hypernym,on
growingOn,hypernym,on
paintedOn,hypernym,on
layingOn,synonym,lyingOn
restingOn,synonym,placedOn
sittingOnTopOf,hypernym,sittingOn
standingOnTopOf,hypernym,standingOn
restingOnTopOf,hypernym,restingOn
lookingAt,synonym,watching
watching,synonym,observing
observing,synonym,viewing
staringAt,synonym,gazingAt
seeing,hypernym,lookingAt
seeing,hypernym,watching
holding,synonym,grasping
grabbing,synonym,grasping
carrying,hypernym,holding
hugging,synonym,embracing
squeezing,hypernym,touching
pushing,hypernym,touching
pulling,hypernym,touching
hangingFrom,hypernym,attachedTo
suspendedFrom,synonym,hangingFrom
danglingFrom,synonym,hangingFrom
swingingFrom,hypernym,hangingFrom
inside,synonym,within
containedIn,synonym,inside
enclosedBy,hypernym,inside
surroundedBy,hypernym,enclosedBy
wrappedIn,hypernym,enclosedBy
insideOf,synonym,inside
withinThe,synonym,within
containedWithin,synonym,containedIn
enclosedWithin,synonym,enclosedBy
nextTo,synonym,beside
closeTo,synonym,near
adjacent,synonym,nextTo
neighboring,synonym,nextTo
farFrom,synonym,distantFrom
besideOf,synonym,beside
alongsideOf,synonym,beside
closeBy,synonym,closeTo
nearBy,synonym,near
inProximityTo,hypernym,near
inVicinityOf,hypernym,near
underneath,synonym,under
beneath,synonym,under
withinOf,synonym,within
inFrontOf,hypernym,near
behind,hypernym,near
toLeftOf,hypernym,beside
toRightOf,hypernym,beside
leftOf,synonym,toLeftOf
rightOf,synonym,toRightOf
onLeftOf,synonym,leftOf
onRightOf,synonym,rightOf
atLeftOf,synonym,leftOf
atRightOf,synonym,rightOf
toTheLeftOf,synonym,toLeftOf
toTheRightOf,synonym,toRightOf
onTheLeftOf,synonym,onLeftOf
onTheRightOf,synonym,onRightOf
aboveOf,synonym,above
belowOf,synonym,below
onTopOf,hypernym,above
onBackOf,hypernym,on
beyondOf,hypernym,behind
owns,synonym,possesses
belongsTo,hypernym,with
accompaniedBy,synonym,with
hasOn,synonym,wearing
wears,synonym,wearing
isWearing,synonym,wearing
dressedIn,hypernym,wearing
clothedIn,hypernym,wearing
sporting,synonym,wearing
partOf,synonym,componentOf
elementOf,synonym,componentOf
memberOf,hypernym,partOf
composedOf,synonym,madeOf
constructedFrom,hypernym,madeOf
builtFrom,hypernym,madeOf
formedFrom,hypernym,madeOf
coveredWith,hypernym,has
coatedWith,synonym,coveredWith
filledWith,hypernym,has
paintedWith,hypernym,coveredWith
connectedTo,synonym,linkedTo
joinedTo,synonym,linkedTo
boundTo,hypernym,attachedTo
attachedTo,hypernym,connectedTo
supportedBy,hypernym,on
heldBy,hypernym,supportedBy
balancedOn,hypernym,on
foundationOf,hypernym,supportedBy
driving,hypernym,riding
flying,hypernym,riding
sailing,hypernym,riding
travelingOn,hypernym,movingOn
walkingIn,hypernym,walking
walkingOn,hypernym,walking
reading,hypernym,lookingAt
writing,hypernym,using
cooking,hypernym,using
cleaning,hypernym,using
throwing,hypernym,using
catching,hypernym,using
kicking,hypernym,using
playing,hypernym,using
parkedAt,hypernym,parkedOn
parkedNear,hypernym,near
stationedAt,synonym,parkedAt
dockedAt,hypernym,parkedAt
growingIn,hypernym,in
bloomingOn,hypernym,growingOn
attachedNaturallyTo,hypernym,attachedTo
operatingWith,hypernym,using
controllingWith,hypernym,using
manipulating,hypernym,using
above,hypernym,over
spanning,hypernym,over
bridging,hypernym,over
crossing,hypernym,over
below,hypernym,under
beneath,synonym,under
displays,synonym,shows
indicates,hypernym,shows
reads,hypernym,says
spells,hypernym,says
mirroredIn,synonym,reflectedIn
shadowedBy,hypernym,near
castingShadowOn,hypernym,over
around,hypernym,near
encompassing,hypernym,surrounding
overlapping,hypernym,intersecting
opposite,hypernym,acrossFrom
facing,hypernym,lookingAt
turnedToward,hypernym,facing
hasColor,hypernym,hasAttribute
hasSize,hypernym,hasAttribute
hasShape,hypernym,hasAttribute
hasTexture,hypernym,hasAttribute
hasMaterial,hypernym,hasAttribute
hasProperty,synonym,hasAttribute
isColor,hypernym,hasAttribute
isSize,hypernym,hasAttribute
isShape,hypernym,hasAttribute
isTexture,hypernym,hasAttribute
isMaterial,hypernym,hasAttribute
has,synonym,hasAttribute
hangingFrom,hypernym,from
holding,synonym,gripping
holding,hypernym,touching
madeOf,synonym,formedFrom
partOf,synonym,elementOf
partOf,hypernym,belongsTo
playing,hypernym,interactingWith
riding,synonym,mountedOn
using,synonym,utilizing
using,synonym,employing
using,hypernym,interactingWith
mountedOn,hypernym,placedOn
parkedOn,hypernym,stationedOn
over,synonym,atop
under,synonym,beneath
has,synonym,contains
walkingOn,hypernym,walking
