image_id,subject,subject_bbox,relationship,object,object_bbox
1,shade,"[119, 338, 274, 192]",ON,street,"[77, 328, 714, 262]"
1,man,"[238, 249, 60, 262]",wears,sneakers,"[243, 489, 52, 26]"
1,car,"[479, 315, 74, 98]",has,headlight,"[514, 366, 23, 15]"
1,sign,"[118, 13, 88, 182]",ON,building,"[1, 2, 218, 536]"
1,tree trunk,"[622, 234, 87, 327]",ON,sidewalk,"[77, 331, 722, 266]"
1,man,"[238, 249, 60, 262]",has,shirt,"[241, 289, 59, 101]"
1,sidewalk,"[77, 331, 722, 266]",next to,street,"[358, 283, 440, 233]"
1,car,"[708, 342, 91, 174]",has,back,"[721, 339, 67, 170]"
1,man,"[238, 249, 60, 262]",has,glasses,"[271, 268, 20, 12]"
1,parking meter,"[574, 327, 32, 143]",ON,sidewalk,"[77, 331, 722, 266]"
1,man,"[238, 249, 60, 262]",wears,sneakers,"[243, 489, 52, 26]"
1,man,"[372, 264, 75, 251]",has,shoes,"[391, 481, 46, 34]"
1,man,"[238, 249, 60, 262]",has,shirt,"[241, 289, 59, 101]"
1,man,"[238, 249, 60, 262]",wears,pants,"[245, 384, 38, 118]"
1,man,"[372, 264, 75, 251]",has,jacket,"[356, 296, 89, 97]"
1,man,"[372, 264, 75, 251]",has,pants,"[382, 369, 54, 128]"
1,bike,"[318, 319, 28, 34]",parked on,sidewalk,"[77, 331, 722, 266]"
1,bike,"[334, 319, 29, 35]",parked on,sidewalk,"[77, 331, 722, 266]"
1,work truck,"[521, 271, 265, 185]",parked on,street,"[358, 283, 440, 233]"
1,car,"[708, 342, 91, 174]",parked on,street,"[358, 283, 440, 233]"
1,bike,"[334, 319, 29, 35]",ON,sidewalk,"[343, 318, 50, 189]"
1,parking meter,"[574, 327, 32, 143]",behind,man,"[372, 264, 75, 251]"
1,guy,"[369, 264, 82, 250]",holding,chin,"[399, 288, 11, 9]"
1,man,"[238, 249, 60, 262]",WEARING,shirt,"[241, 289, 59, 101]"
1,man,"[372, 264, 75, 251]",holding,chin,"[399, 288, 11, 9]"
1,bikes,"[321, 319, 40, 35]",near,tree,"[249, 0, 176, 360]"
1,man,"[372, 264, 75, 251]",WEARING,shoes,"[391, 481, 46, 34]"
1,bikes,"[321, 319, 40, 35]",near,tree,"[249, 0, 176, 360]"
1,shirt,"[241, 289, 59, 101]",ON,man,"[238, 249, 60, 262]"
1,man,"[362, 264, 97, 248]",holding,chin,"[399, 288, 11, 9]"
1,man,"[230, 251, 72, 264]",WEARING,glasses,"[271, 268, 20, 12]"
1,lamp post,"[537, 63, 41, 430]",along,road,"[435, 295, 340, 218]"
1,man,"[238, 249, 60, 262]",IN,shirt,"[241, 289, 59, 101]"
1,man,"[238, 249, 60, 262]",WEARING,pants,"[245, 384, 38, 118]"
1,parking meter,"[574, 327, 32, 143]",on top of,street,"[358, 283, 440, 233]"
1,tree,"[249, 0, 176, 360]",next to,street,"[358, 283, 440, 233]"
1,man,"[238, 249, 60, 262]",WEARING,glasses,"[271, 268, 20, 12]"
1,bikes,"[321, 319, 40, 35]",behind,man,"[238, 249, 60, 262]"
1,trees,"[190, 0, 606, 557]",by,sidewalk,"[77, 331, 722, 266]"
1,man,"[372, 264, 75, 251]",WEARING,jacket,"[356, 296, 89, 97]"
1,building,"[1, 2, 218, 536]",with,windows,"[602, 4, 173, 148]"
1,clock,"[421, 91, 79, 339]",has_attribute,green,NULL
1,clock,"[421, 91, 79, 339]",has_attribute,tall,NULL
1,street,"[77, 328, 714, 262]",has_attribute,sidewalk,NULL
1,sneakers,"[243, 489, 52, 26]",has_attribute,grey,NULL
1,headlight,"[514, 366, 23, 15]",has_attribute,off,NULL
1,bike,"[318, 319, 28, 34]",has_attribute,parked,NULL
1,bike,"[318, 319, 28, 34]",has_attribute,far away,NULL
1,bike,"[334, 319, 29, 35]",has_attribute,parked,NULL
1,bike,"[334, 319, 29, 35]",has_attribute,far away,NULL
1,bike,"[334, 319, 29, 35]",has_attribute,chained,NULL
1,sign,"[118, 13, 88, 182]",has_attribute,black,NULL
1,building,"[1, 2, 218, 536]",has_attribute,tall,NULL
1,building,"[1, 2, 218, 536]",has_attribute,brick,NULL
1,building,"[1, 2, 218, 536]",has_attribute,made of bricks,NULL
1,sidewalk,"[77, 331, 722, 266]",has_attribute,brick,NULL
1,shirt,"[241, 289, 59, 101]",has_attribute,red,NULL
1,shirt,"[241, 289, 59, 101]",has_attribute,orange,NULL
1,street,"[358, 283, 440, 233]",has_attribute,clean,NULL
1,car,"[708, 342, 91, 174]",has_attribute,white,NULL
1,car,"[708, 342, 91, 174]",has_attribute,parked,NULL
1,parking meter,"[574, 327, 32, 143]",has_attribute,orange,NULL
1,shoes,"[391, 481, 46, 34]",has_attribute,brown,NULL
1,pants,"[245, 384, 38, 118]",has_attribute,black,NULL
1,jacket,"[356, 296, 89, 97]",has_attribute,gray,NULL
1,jacket,"[356, 296, 89, 97]",has_attribute,grey,NULL
1,pants,"[382, 369, 54, 128]",has_attribute,gray,NULL
1,pants,"[382, 369, 54, 128]",has_attribute,grey,NULL
1,work truck,"[521, 271, 265, 185]",has_attribute,white,NULL
1,chin,"[399, 288, 11, 9]",has_attribute,raised,NULL
1,van,"[529, 298, 233, 134]",has_attribute,parked,NULL
1,van,"[529, 298, 233, 134]",has_attribute,white,NULL
1,wall,"[0, 1, 134, 533]",has_attribute,grey,NULL
1,arm,"[368, 283, 32, 43]",has_attribute,raised,NULL
1,shirt,"[384, 306, 37, 66]",has_attribute,grey,NULL
1,trees,"[190, 0, 606, 557]",has_attribute,sparse,NULL
2,man,"[324, 320, 142, 255]",wears,backpack,"[359, 362, 72, 81]"
2,car,"[239, 347, 136, 126]",parked on,road,"[3, 321, 372, 279]"
2,tree,"[0, 146, 73, 223]",next to,road,"[3, 321, 372, 279]"
2,tree,"[58, 155, 61, 201]",next to,road,"[3, 321, 372, 279]"
2,tree,"[110, 195, 83, 163]",next to,road,"[3, 321, 372, 279]"
2,crosswalk,"[0, 492, 366, 107]",in front of,man,"[324, 320, 142, 255]"
2,building,"[547, 4, 251, 384]",has,window,"[645, 60, 99, 179]"
2,building,"[547, 4, 251, 384]",has,window,"[742, 71, 57, 159]"
2,building,"[547, 4, 251, 384]",has,window,"[644, 259, 105, 114]"
2,building,"[547, 4, 251, 384]",has,window,"[746, 259, 52, 108]"
2,building,"[547, 4, 251, 384]",has,window,"[628, 64, 26, 179]"
2,car,"[346, 327, 86, 76]",parked on,road,"[3, 321, 372, 279]"
2,sign,"[230, 287, 22, 67]",next to,road,"[3, 321, 372, 279]"
2,tree,"[0, 146, 73, 223]",along,road,"[3, 321, 372, 279]"
2,tree,"[58, 155, 61, 201]",along,road,"[3, 321, 372, 279]"
2,tree,"[110, 195, 83, 163]",along,road,"[3, 321, 372, 279]"
2,man,"[324, 320, 142, 255]",wears,sneakers,"[339, 533, 132, 37]"
2,man,"[324, 320, 142, 255]",carries,backpack,"[359, 362, 72, 81]"
2,bike,"[415, 403, 33, 69]",next to,car,"[239, 347, 136, 126]"
2,car,"[239, 347, 136, 126]",parked on,road,"[3, 321, 372, 279]"
2,man,"[324, 320, 142, 255]",at,crosswalk,"[0, 492, 366, 107]"
2,crosswalk,"[0, 492, 366, 107]",ON,road,"[3, 321, 372, 279]"
2,walk sign,"[463, 141, 43, 103]",says,"""walk""","[471, 193, 31, 15]"
2,walk sign,"[463, 141, 43, 103]",has_attribute,on,NULL
2,walk sign,"[463, 141, 43, 103]",has_attribute,"lit ""walk""",NULL
2,backpack,"[359, 362, 72, 81]",has_attribute,silver,NULL
2,man,"[324, 320, 142, 255]",has_attribute,walking,NULL
2,man,"[324, 320, 142, 255]",has_attribute,white,NULL
2,car,"[239, 347, 136, 126]",has_attribute,red,NULL
2,car,"[239, 347, 136, 126]",has_attribute,parked,NULL
2,road,"[3, 321, 372, 279]",has_attribute,grey,NULL
2,tree,"[0, 146, 73, 223]",has_attribute,green,NULL
2,tree,"[58, 155, 61, 201]",has_attribute,green,NULL
2,tree,"[110, 195, 83, 163]",has_attribute,green,NULL
2,crosswalk,"[0, 492, 366, 107]",has_attribute,white,NULL
2,sidewalk,"[384, 343, 415, 247]",has_attribute,brick,NULL
2,sidewalk,"[384, 343, 415, 247]",has_attribute,white,NULL
2,window,"[628, 64, 26, 179]",has_attribute,glass,NULL
2,window,"[645, 60, 99, 179]",has_attribute,glass,NULL
2,window,"[742, 71, 57, 159]",has_attribute,glass,NULL
2,window,"[644, 259, 105, 114]",has_attribute,glass,NULL
2,window,"[746, 259, 52, 108]",has_attribute,glass,NULL
2,building,"[547, 4, 251, 384]",has_attribute,orange,NULL
2,building,"[547, 4, 251, 384]",has_attribute,brown,NULL
2,building,"[547, 4, 251, 384]",has_attribute,tall,NULL
2,car,"[346, 327, 86, 76]",has_attribute,white,NULL
2,street light,"[288, 212, 28, 131]",has_attribute,white,NULL
2,sign,"[230, 287, 22, 67]",has_attribute,black,NULL
2,trees,"[9, 147, 198, 211]",has_attribute,green,NULL
2,street light,"[377, 37, 122, 429]",has_attribute,brown,NULL
2,building,"[165, 13, 282, 298]",has_attribute,brown,NULL
2,building,"[165, 13, 282, 298]",has_attribute,red,NULL
2,pole,"[405, 34, 78, 438]",has_attribute,brown,NULL
2,lights,"[227, 284, 32, 26]",has_attribute,off,NULL
3,keyboard,"[168, 273, 175, 48]",in front of,monitor,"[159, 119, 149, 155]"
3,cpu,"[212, 340, 88, 139]",under,desktop,"[129, 233, 510, 244]"
3,filing cabinet,"[2, 269, 139, 201]",has,drawer,"[48, 423, 94, 42]"
3,filing cabinet,"[2, 269, 139, 201]",has,drawer,"[2, 321, 128, 123]"
3,mouse,"[346, 296, 29, 28]",next to,keyboard,"[168, 273, 175, 48]"
3,wireless phone,"[465, 268, 38, 61]",docked in,office phone base,"[465, 277, 73, 66]"
3,cpu,"[212, 340, 88, 139]",under,desk,"[130, 235, 506, 241]"
3,filing cabinet,"[2, 269, 139, 201]",next to,desk,"[130, 235, 506, 241]"
3,multiple outlet,"[42, 190, 89, 48]",next to,monitor,"[159, 119, 149, 155]"
