image_id,subject,subject_bbox,relationship,object,object_bbox
1,shade,"[119, 338, 274, 192]",on,street,"[77, 328, 714, 262]"
1,sign,"[118, 13, 88, 182]",on,building,"[1, 2, 218, 536]"
1,man,"[238, 249, 60, 262]",has,shirt,"[241, 289, 59, 101]"
1,sidewalk,"[77, 331, 722, 266]",nextTo,street,"[358, 283, 440, 233]"
1,man,"[238, 249, 60, 262]",has,shirt,"[241, 289, 59, 101]"
1,man,"[372, 264, 75, 251]",has,jacket,"[356, 296, 89, 97]"
1,bike,"[318, 319, 28, 34]",parkedOn,sidewalk,"[77, 331, 722, 266]"
1,bike,"[334, 319, 29, 35]",parkedOn,sidewalk,"[77, 331, 722, 266]"
1,car,"[708, 342, 91, 174]",parkedOn,street,"[358, 283, 440, 233]"
1,bike,"[334, 319, 29, 35]",on,sidewalk,"[343, 318, 50, 189]"
1,man,"[238, 249, 60, 262]",wearing,shirt,"[241, 289, 59, 101]"
1,shirt,"[241, 289, 59, 101]",on,man,"[238, 249, 60, 262]"
1,man,"[238, 249, 60, 262]",in,shirt,"[241, 289, 59, 101]"
1,tree,"[249, 0, 176, 360]",nextTo,street,"[358, 283, 440, 233]"
1,man,"[372, 264, 75, 251]",wearing,jacket,"[356, 296, 89, 97]"
1,clock,"[421, 91, 79, 339]",hasAttribute,green,
1,clock,"[421, 91, 79, 339]",hasAttribute,tall,
1,street,"[77, 328, 714, 262]",hasAttribute,sidewalk,
1,bike,"[318, 319, 28, 34]",hasAttribute,parked,
1,bike,"[334, 319, 29, 35]",hasAttribute,parked,
1,bike,"[334, 319, 29, 35]",hasAttribute,chained,
1,sign,"[118, 13, 88, 182]",hasAttribute,black,
1,building,"[1, 2, 218, 536]",hasAttribute,tall,
1,building,"[1, 2, 218, 536]",hasAttribute,brick,
1,sidewalk,"[77, 331, 722, 266]",hasAttribute,brick,
1,shirt,"[241, 289, 59, 101]",hasAttribute,orange,
1,street,"[358, 283, 440, 233]",hasAttribute,clean,
1,car,"[708, 342, 91, 174]",hasAttribute,white,
1,car,"[708, 342, 91, 174]",hasAttribute,parked,
1,jacket,"[356, 296, 89, 97]",hasAttribute,gray,
1,jacket,"[356, 296, 89, 97]",hasAttribute,grey,
1,van,"[529, 298, 233, 134]",hasAttribute,parked,
1,van,"[529, 298, 233, 134]",hasAttribute,white,
1,wall,"[0, 1, 134, 533]",hasAttribute,grey,
1,shirt,"[384, 306, 37, 66]",hasAttribute,grey,
2,man,"[324, 320, 142, 255]",wears,backpack,"[359, 362, 72, 81]"
2,car,"[239, 347, 136, 126]",parkedOn,road,"[3, 321, 372, 279]"
2,tree,"[0, 146, 73, 223]",nextTo,road,"[3, 321, 372, 279]"
2,tree,"[58, 155, 61, 201]",nextTo,road,"[3, 321, 372, 279]"
2,tree,"[110, 195, 83, 163]",nextTo,road,"[3, 321, 372, 279]"
2,crosswalk,"[0, 492, 366, 107]",inFrontOf,man,"[324, 320, 142, 255]"
2,building,"[547, 4, 251, 384]",has,window,"[645, 60, 99, 179]"
2,building,"[547, 4, 251, 384]",has,window,"[742, 71, 57, 159]"
2,building,"[547, 4, 251, 384]",has,window,"[644, 259, 105, 114]"
2,building,"[547, 4, 251, 384]",has,window,"[746, 259, 52, 108]"
2,building,"[547, 4, 251, 384]",has,window,"[628, 64, 26, 179]"
2,car,"[346, 327, 86, 76]",parkedOn,road,"[3, 321, 372, 279]"
2,sign,"[230, 287, 22, 67]",nextTo,road,"[3, 321, 372, 279]"
2,tree,"[0, 146, 73, 223]",along,road,"[3, 321, 372, 279]"
2,tree,"[58, 155, 61, 201]",along,road,"[3, 321, 372, 279]"
2,tree,"[110, 195, 83, 163]",along,road,"[3, 321, 372, 279]"
2,bike,"[415, 403, 33, 69]",nextTo,car,"[239, 347, 136, 126]"
2,car,"[239, 347, 136, 126]",parkedOn,road,"[3, 321, 372, 279]"
2,crosswalk,"[0, 492, 366, 107]",on,road,"[3, 321, 372, 279]"
2,backpack,"[359, 362, 72, 81]",hasAttribute,silver,
2,man,"[324, 320, 142, 255]",hasAttribute,walking,
2,man,"[324, 320, 142, 255]",hasAttribute,white,
2,car,"[239, 347, 136, 126]",hasAttribute,parked,
2,road,"[3, 321, 372, 279]",hasAttribute,grey,
2,tree,"[0, 146, 73, 223]",hasAttribute,green,
2,tree,"[58, 155, 61, 201]",hasAttribute,green,
2,tree,"[110, 195, 83, 163]",hasAttribute,green,
2,crosswalk,"[0, 492, 366, 107]",hasAttribute,white,
2,sidewalk,"[384, 343, 415, 247]",hasAttribute,brick,
2,sidewalk,"[384, 343, 415, 247]",hasAttribute,white,
2,window,"[628, 64, 26, 179]",hasAttribute,glass,
2,window,"[645, 60, 99, 179]",hasAttribute,glass,
2,window,"[742, 71, 57, 159]",hasAttribute,glass,
2,window,"[644, 259, 105, 114]",hasAttribute,glass,
2,window,"[746, 259, 52, 108]",hasAttribute,glass,
2,building,"[547, 4, 251, 384]",hasAttribute,orange,
2,building,"[547, 4, 251, 384]",hasAttribute,brown,
2,building,"[547, 4, 251, 384]",hasAttribute,tall,
2,car,"[346, 327, 86, 76]",hasAttribute,white,
2,sign,"[230, 287, 22, 67]",hasAttribute,black,
2,building,"[165, 13, 282, 298]",hasAttribute,brown,
2,pole,"[405, 34, 78, 438]",hasAttribute,brown,
3,keyboard,"[168, 273, 175, 48]",inFrontOf,monitor,"[159, 119, 149, 155]"
3,mouse,"[346, 296, 29, 28]",nextTo,keyboard,"[168, 273, 175, 48]"
3,girl,"[544, 89, 94, 149]",inFrontOf,monitor,"[417, 63, 82, 50]"
3,mouse,"[346, 296, 29, 28]",nextTo,keyboard,"[168, 273, 175, 48]"
3,outlet,"[83, 202, 17, 24]",on,wall,"[3, 6, 258, 265]"
3,outlet,"[42, 207, 22, 29]",on,wall,"[3, 6, 258, 265]"
3,girl,"[544, 89, 94, 149]",has,hair,"[585, 98, 55, 109]"
