subject,relation,object
truck,hyponym,van
truck,hyponym,tractor
blouse,hypernym,top
oak,hypernym,wood
closed,synonym,close
closed,synonym,shut
closed,hyponym,seal
potted,synonym,pot
potted,hypernym,plant
swan,hyponym,pen
box,hypernym,container
box,hyponym,carton
box,hyponym,flat
box,hyponym,crate
box,hyponym,mailbox
professional,hypernym,adult
machine,hypernym,device
machine,hyponym,stapler
machine,hyponym,feeder
machine,hyponym,computer
machine,hyponym,printer
machine,hyponym,calculator
farm,hyponym,spread
bleacher,hypernym,worker
person,hyponym,match
person,hyponym,waiter
person,hyponym,child
person,hyponym,baby
person,hyponym,longer
person,hyponym,brunette
person,hyponym,controller
person,hyponym,machine
person,hyponym,life
person,hyponym,simple
person,hyponym,worker
person,hyponym,comforter
person,hyponym,double
person,hyponym,female
person,hyponym,adult
person,hyponym,ostrich
person,hyponym,dresser
person,hyponym,shaker
person,hyponym,beard
person,hyponym,counter
person,hyponym,modern
person,hyponym,man
person,hyponym,mouse
person,hyponym,face
person,hyponym,player
person,hyponym,sweater
person,hyponym,engineer
person,hyponym,male
person,hyponym,straight
person,hyponym,blond
toiletry,hyponym,powder
toiletry,hyponym,cream
toiletry,hyponym,toothbrush
telephone,synonym,phone
male,hypernym,animal
rounded,synonym,round
bird,hyponym,parrot
sauce,hyponym,dressing
sauce,hyponym,gravy
sauce,hyponym,pesto
packaged,synonym,box
packaged,synonym,package
wired,synonym,wire
wired,hypernym,outfit
soup,hypernym,dish
soup,hyponym,broth
calico,hypernym,cloth
calico,hypernym,material
cup,hypernym,container
suitcase,synonym,bag
suitcase,hypernym,luggage
cigarette,hypernym,smoke
cigarette,hyponym,stick
mozzarella,hypernym,cheese
candle,hypernym,lamp
candle,hyponym,dip
hazy,synonym,foggy
hazy,synonym,misty
red,hyponym,cherry
cd,hypernym,metal
by,synonym,past
coach,hyponym,conditioner
wallpaper,hypernym,paper
runway,synonym,track
runway,hypernym,bar
blazer,hypernym,jacket
moving,hyponym,roll
moving,hyponym,swan
moving,hyponym,ski
moving,hyponym,taxi
moving,hyponym,back
moving,hyponym,wing
moving,hyponym,spread
moving,hyponym,step
moving,hyponym,pan
moving,hyponym,steam
moving,hyponym,shuttle
moving,hyponym,lift
moving,hyponym,whisk
moving,hyponym,round
moving,hyponym,wheel
topped,synonym,top
tossing,synonym,flip
tossing,synonym,sky
sloped,hyponym,dip
dryer,hypernym,appliance
hose,hyponym,sock
petting,synonym,hugging
petting,synonym,kissing
jagged,hypernym,cut
umbrella,hypernym,canopy
berry,hyponym,strawberry
berry,hyponym,raspberry
berry,hyponym,blueberry
cracker,hypernym,bread
touching,hyponym,brush
waste,hypernym,material
waste,hyponym,garbage
waste,hyponym,trash
alcohol,hypernym,beverage
alcohol,hypernym,drink
alcohol,hyponym,wine
tree,hyponym,coffee
tree,hyponym,lime
tree,hyponym,palm
tree,hyponym,oak
living,synonym,life
bulb,hyponym,onion
wrinkled,synonym,purse
dark,hyponym,black
pancake,hypernym,cake
pancake,hyponym,tortilla
covering,synonym,cover
covering,hyponym,crust
covering,hyponym,envelope
covering,hyponym,cap
covering,hyponym,blanket
covering,hyponym,roof
hillside,hypernym,side
hair,hyponym,bush
hair,hyponym,down
hair,hyponym,beard
hair,hyponym,coat
hair,hyponym,mane
hair,hyponym,lock
outlet,hyponym,market
outlet,hyponym,shop
outlet,hyponym,store
outlet,hyponym,mall
outlet,hyponym,center
yellow,hyponym,lemon
yellow,hyponym,straw
yellow,hyponym,gold
television,synonym,video
television,hyponym,cable
knit,hypernym,cloth
knit,hypernym,material
knit,hyponym,jersey
lace,hypernym,cord
crossed,synonym,track
crossed,synonym,cover
crossed,hyponym,bridge
hardwood,hypernym,wood
decorating,synonym,ornament
decorating,hyponym,color
decorating,hyponym,bead
decorating,hyponym,pipe
decorating,hyponym,flag
decorating,hyponym,panel
decorating,hyponym,stick
decorating,hyponym,deck
decorating,hyponym,hang
decorating,hyponym,garland
decorating,hyponym,garnish
decorating,hyponym,dress
pond,synonym,pool
pond,hypernym,lake
railing,hypernym,barrier
railing,hyponym,bar
asphalt,hypernym,pavement
purse,synonym,bag
purse,synonym,handbag
purse,hypernym,container
kiwi,hypernym,vine
electric,hypernym,car
electric,hypernym,machine
mane,hypernym,hair
adjusting,hyponym,match
phone,synonym,telephone
